"artistName","trackName","trackID","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"Tommy Lefroy","Flight Risk","0kAsY8KaG5sM6uwAEt3qyg",0.348,0.165,6,-6.816,1,0.0439,0.418,0,0.162,0.109,47.971,59027,4
"demxntia","disappear","3x1edFtdUWSV6bFmAdHO3u",0.476,0.36,2,-11.396,0,0.0494,0.96,1.92e-05,0.118,0.0341,140.575,109741,4
"Joji","Die For You","26hOm7dTtBi0TdpDGl141t",0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,211667,4
"The Walters","I Love You So","4SqWKzw0CbA05TGszDgMlc",0.575,0.648,10,-4.891,1,0.0358,0.583,0,0.115,0.466,75.977,160240,4
"Joji","YUKON (INTERLUDE)","5IPl8JpkbtSH1mdyq5ctSx",0.736,0.71,6,-8.497,0,0.091,0.383,0.0351,0.395,0.0728,82.482,141093,4
"boy pablo","Sick Feeling","7zxLkZbUxITHabPzGN8Xgc",0.415,0.504,9,-10.003,1,0.0318,0.022,3.84e-06,0.363,0.401,165.86,155714,4
"Lyn Lapid","In My Mind","2W779g2UrRZtVdf3FcEOO1",0.668,0.392,2,-12.178,0,0.0585,0.789,0.00275,0.345,0.323,135.936,162794,3
"Vansire","Eleven Weeks","0jx2hPIzs7bNveWHU2Ohzu",0.302,0.411,8,-13.014,1,0.0362,0.892,0.831,0.135,0.186,183.233,185683,4
"Dhruv","moonlight","2Qn6WHJrY5Im82Jux8FboH",0.735,0.501,11,-11.257,0,0.167,0.627,0.0013,0.104,0.551,92.031,159130,4
"Joji","Afterthought","4G9hlKVIwuWE8qpW2UQpV3",0.609,0.546,1,-8.025,1,0.0352,0.398,0.0841,0.093,0.19,83.5,194871,4
"MAX","IT'S YOU (feat. keshi) - Stripped Version","5XhyWkCp2jcYo3bJJoYASW",0.348,0.233,7,-9.276,1,0.0349,0.952,0,0.0946,0.436,89.948,158743,4
"keshi","right here","2Q3QRjA8MjzqpFaIkFludb",0.597,0.496,5,-9.441,1,0.077,0.0839,0,0.117,0.319,160.05,195093,4
"Johnny Orlando","someone will love you better","5BIEu2u0dElmmyiZxTLBty",0.504,0.373,2,-8.1,1,0.033,0.677,1.84e-06,0.097,0.251,84.065,171227,4
"Joji","Dissolve","4DYKah8mcZf0O4l9Gt7woU",0.356,0.401,10,-10.303,1,0.0278,0.426,1.48e-05,0.131,0.38,92.488,177400,4
"Benson Boone","GHOST TOWN","135Lf4Q0CzlMNfOxbEUsLH",0.391,0.335,0,-10.064,1,0.0763,0.389,0,0.102,0.116,174.185,193733,3
"Matt Maltese","little person","1VrUeEmCs6wGwPkWuEFr09",0.265,0.352,6,-9.433,1,0.0369,0.645,0.635,0.174,0.206,67.407,201034,4
"Billie Eilish","listen before i go","0tMSssfxAL2oV8Vri0mFHE",0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3
"Olivia Rodrigo","favorite crime","5JCoSi02qi3jJeHdZXMmR8",0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929,152667,4
"Bruno Mars","Talking to the Moon","161DnLWsx1i3u1JT05lzqU",0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,217867,4
"Jeremy Zucker","always, i'll care","0rbKrBvZUYY9GN9l057BuY",0.732,0.221,6,-12.623,1,0.056,0.897,2.62e-05,0.11,0.677,105.165,146160,4
"The Neighbourhood","The Beach","2u0CelO5c81XS7z3dGpHbS",0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,255133,4
"Joji","SLOW DANCING IN THE DARK","6rY5FAWxCdAGllYEOZMbjW",0.517,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.968,209274,4
"Jeremy Zucker","ghosts","1IQrWMzaUT0mwjP64lfQvR",0.572,0.355,6,-7.499,1,0.0448,0.685,0.000365,0.169,0.391,138.547,264867,4
